bldg_id,building_type,energy_code,hvac_category,vintage,weighted.sqft,orientation,building_shape,building_height,perimeter,wall_area,WWR,electricity_bill_mean..usd,natural_gas_bill..usd,propane_bill..usd
97308,Warehouse and Storage,ComStock 90.1-2004,Small Packaged Unit,2000 to 2012,242844.3655,Unknown,2,8.5344,248.1539454,2117.845032,0.092980216,56099,3630,
97309,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,2000 to 2012,1133273.706,Unknown,1,8.5344,569.381218,4859.327067,0.013755756,174202,6726,
97310,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1990 to 1999,485688.7311,"225, North Axis {deg}",3,8.5344,459.6227436,3922.604343,0.605722528,105218,4668,
97311,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,9713.774622,"270, North Axis {deg}",missing,8.5344,33.12617261,282.7120075,0.131339152,4228,222,
97316,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1960 to 1969,5611.956476,"315, North Axis {deg}",missing,5.1816,54.52428156,282.5230173,0.02,6387,203,
97317,Office,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,65445.43665,Unknown,1,3.048,69.00981723,210.3419229,0.091800693,9336,,
97319,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,56080.22674,Unknown,1,6.096,114.7810487,699.7052728,0.084309214,26025,33,
97320,Office,ComStock 90.1-2007,Small Packaged Unit,1980 to 1989,8726.05822,Unknown,1,3.048,27.26214078,83.0950051,0.12,3338,,
97321,Mercantile,ComStock 90.1-2004,Small Packaged Unit,1990 to 1999,56080.22674,"90, North Axis {deg}",2,6.096,114.7810487,699.7052728,0.084309214,26868,14,
97323,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,70149.45594,"315, North Axis {deg}",9,5.1816,137.8359453,714.2107344,0.38539903,77443,8046,
97325,Food Service,ComStock DOE Ref 1980-2004,Small Packaged Unit,2000 to 2012,25593.79273,"180, North Axis {deg}",2,3.048,24.24516711,73.89926934,0.165257679,21170,4794,
97327,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,699376.6743,"90, North Axis {deg}",2,3.9624,213.8427533,847.3305256,0.421574965,101977,716,
97329,Mercantile,ComStock 90.1-2004,Small Packaged Unit,Before 1946,14029.89119,"135, North Axis {deg}",2,5.1816,43.49542499,225.3758941,1.622104457,24333,673,
97330,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,26178.17466,"225, North Axis {deg}",3,3.048,77.10897847,235.0281664,0.06,4831,,
97334,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,56663.68529,Unknown,2,8.5344,105.6886587,901.9892888,0.105456108,20735,,
97335,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,121422.1828,"270, North Axis {deg}",9,8.5344,151.414203,1292.229374,0.160944241,24026,2593,
97336,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,32736.41277,"270, North Axis {deg}",9,5.1816,94.38000217,489.0394192,0.167436297,39142,1851,
97338,Mercantile,ComStock 90.1-2004,Small Packaged Unit,1990 to 1999,70149.45594,"135, North Axis {deg}",9,5.1816,114.4719602,593.147909,0.393767832,126902,1159,
97343,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,26178.17466,"135, North Axis {deg}",2,3.048,50.08375066,152.655272,0.76,6542,,
97344,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,56080.22674,"225, North Axis {deg}",2,6.096,116.6647636,711.188399,0.01466326,23529,,
97345,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,1133273.706,"270, North Axis {deg}",2,8.5344,569.381218,4859.327067,0.013755756,304627,1454,
97346,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1970 to 1979,121422.1828,Unknown,2,8.5344,136.1040277,1161.566214,0.027411116,29680,3995,
97348,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,242844.3655,"45, North Axis {deg}",2,8.5344,258.860802,2209.221628,0.014006123,47568,3580,
97350,Office,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,65445.43665,"135, North Axis {deg}",2,3.048,38.08444736,116.0813956,0.235247045,12832,,
97351,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,1870.652159,"225, North Axis {deg}",3,5.1816,25.86313763,134.0124339,0.12,4722,171,
97353,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1980 to 1989,24284.43655,"225, North Axis {deg}",2,8.5344,45.52960267,388.567841,0.207297386,7216,1293,
97354,Mercantile,ComStock 90.1-2007,Small Packaged Unit,Before 1946,140298.9119,Unknown,2,5.1816,167.8900559,869.9391135,1.388356818,196892,2331,
97355,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1960 to 1969,140298.9119,"135, North Axis {deg}",2,5.1816,172.9030026,895.9141984,0.173798314,136382,16281,
97357,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,70149.45594,"45, North Axis {deg}",3,5.1816,126.0310921,653.0427069,0.140499297,86308,9182,
97359,Food Service,ComStock DOE Ref 1980-2004,Small Packaged Unit,1990 to 1999,22700.57255,"225, North Axis {deg}",2,3.048,30.23776942,92.16472121,0.022084411,17530,5379,
97360,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,121422.1828,Unknown,1,8.5344,167.9209819,1433.104828,0.015267371,23121,790,
97363,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,26178.17466,"90, North Axis {deg}",4,3.048,83.47291776,254.4254533,0.01,5855,,
97364,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,5611.956476,"90, North Axis {deg}",2,5.1816,21.24873583,110.1024496,0.033333333,8255,290,
97365,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1960 to 1969,14029.89119,"135, North Axis {deg}",9,5.1816,38.36961775,198.8160114,0.041277118,16598,579,
97366,Mercantile,ComStock 90.1-2004,Small Packaged Unit,1980 to 1989,240343.8289,"45, North Axis {deg}",2,6.096,266.976981,1627.491676,0.012506384,109290,,
97367,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,152706.0189,"180, North Axis {deg}",2,3.048,124.7089999,380.1130318,0.491450497,25770,,
97369,Warehouse and Storage,ComStock 90.1-2004,Small Packaged Unit,Before 1946,242844.3655,"225, North Axis {deg}",2,8.5344,248.1539454,2117.845032,0.278940648,58854,,
97372,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,26178.17466,"315, North Axis {deg}",1,3.048,18.288,55.741824,0.309838668,3690,,
97373,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1970 to 1979,120171.9144,"270, North Axis {deg}",3,6.096,196.8331856,1199.895099,0.526314375,49271,31,
97375,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1990 to 1999,70149.45594,"135, North Axis {deg}",2,5.1816,137.8359453,714.2107344,0.462478835,81757,2880,
97379,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,65445.43665,Unknown,1,3.048,38.08444736,116.0813956,0.235247045,7976,110,
97380,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,2013 to 2018,485688.7311,Unknown,2,8.5344,362.3053816,3092.059049,0.015010691,52921,5820,
97382,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,485688.7311,"135, North Axis {deg}",2,8.5344,362.3053816,3092.059049,0.015010691,89339,4164,
97383,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,56080.22674,"225, North Axis {deg}",2,6.096,116.6647636,711.188399,0.08797956,27708,,
97385,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,56080.22674,"225, North Axis {deg}",4,6.096,125.7702877,766.6956738,0.014807621,28100,24,
97386,Mercantile,ComStock 90.1-2004,Small Packaged Unit,1970 to 1979,56080.22674,"180, North Axis {deg}",2,6.096,114.7810487,699.7052728,0.014051536,19351,,
97387,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,26178.17466,"180, North Axis {deg}",1,3.048,30.20233421,92.05671468,0.022110322,4370,,
97392,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,70149.45594,"225, North Axis {deg}",3,5.1816,114.4719602,593.147909,0.131255944,96575,12067,
97394,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,2000 to 2012,56663.68529,"45, North Axis {deg}",2,8.5344,116.7432251,996.3333802,0.090010294,18220,,
97400,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,56080.22674,"315, North Axis {deg}",1,6.096,114.7810487,699.7052728,0.252927642,32570,14,
